Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,ObjectId,PLATJA,ID1,LOC,Sectors,nombre_place,id_place
El Prat,,,,,,-1,0,-1,,,2640,La Roberta,PR,9,PR09,El Prat PR09,607
El Prat,,,,,,-1,0,-1,,,2641,La Roberta,PR,10,PR10,El Prat PR10,608
El Prat,,,,,,-1,0,-1,,,2642,La Roberta,PR,11,PR11,El Prat PR11,609
El Prat,,,,,,-1,0,-1,,,2643,La Roberta,PR,12,PR12,El Prat PR12,610
El Prat,,,,,,-1,0,-1,,,2644,Can Camins,PR,13,PR13,El Prat PR13,611
El Prat,,,,,,-1,0,-1,,,2645,Can Camins,PR,14,PR14,El Prat PR14,612
El Prat,,,,,,-1,0,-1,,,2646,Can Camins,PR,15,PR15,El Prat PR15,613
El Prat,,,,,,-1,0,-1,,,2647,Can Camins,PR,16,PR16,El Prat PR16,614
El Prat,,,,,,-1,0,-1,,,2648,Can Camins,PR,17,PR17,El Prat PR17,615
El Prat,,,,,,-1,0,-1,,,2649,Can Camins,PR,18,PR18,El Prat PR18,616
El Prat,,,,,,-1,0,-1,,,2650,Can Camins,PR,19,PR19,El Prat PR19,617
El Prat,,,,,,-1,0,-1,,,2651,Can Camins,PR,20,PR20,El Prat PR20,618
El Prat,,,,,,-1,0,-1,,,2652,Can Camins,PR,21,PR21,El Prat PR21,619
El Prat,,,,,,-1,0,-1,,,2653,Can Camins,PR,22,PR22,El Prat PR22,620
El Prat,,,,,,-1,0,-1,,,2766,La Ricarda,PR,26,PR26,El Prat PR26,624
El Prat,,,,,,-1,0,-1,,,2769,Can Camins,PR,23,PR23,El Prat PR23,621
El Prat,,,,,,-1,0,-1,,,2770,Platja Naturista,PR,24,PR24,El Prat PR24,622
El Prat,,,,,,-1,0,-1,,,2771,Platja Naturista,PR,25,PR25,El Prat PR25,623
El Prat,,,,,,-1,0,-1,,,2772,Ca l\'Arana,PR,27,PR27,El Prat PR27,625
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2657,Sant Sebastià,BC,1,BC01,Barcelona - Zona Sud BC01,626
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2658,Sant Sebastià,BC,2,BC02,Barcelona - Zona Sud BC02,627
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2659,Sant Sebastià,BC,3,BC03,Barcelona - Zona Sud BC03,628
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2660,Sant Sebastià,BC,4,BC04,Barcelona - Zona Sud BC04,629
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2661,Sant Sebastià,BC,5,BC05,Barcelona - Zona Sud BC05,630
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2662,Sant Sebastià,BC,6,BC06,Barcelona - Zona Sud BC06,631
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2663,Sant Miquel,BC,7,BC07,Barcelona - Zona Sud BC07,632
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2664,Sant Miquel,BC,8,BC08,Barcelona - Zona Sud BC08,633
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2665,Sant Miquel,BC,9,BC09,Barcelona - Zona Sud BC09,634
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2666,Sant Miquel,BC,10,BC10,Barcelona - Zona Sud BC10,635
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2667,Barceloneta,BC,11,BC11,Barcelona - Zona Sud BC11,636
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2668,Barceloneta,BC,12,BC12,Barcelona - Zona Sud BC12,637
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2669,Barceloneta,BC,13,BC13,Barcelona - Zona Sud BC13,638
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2670,Somorrostro,BC,14,BC14,Barcelona - Zona Sud BC14,639
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2671,Somorrostro,BC,15,BC15,Barcelona - Zona Sud BC15,640
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2672,Somorrostro,BC,16,BC16,Barcelona - Zona Sud BC16,641
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2673,Somorrostro,BC,17,BC17,Barcelona - Zona Sud BC17,642
Barcelona - Zona Sud,,,,,,-1,0,-1,,,2674,Somorrostro,BC,18,BC18,Barcelona - Zona Sud BC18,643
Barcelona - Zona Nort,,,,,,-1,0,-1,,,2675,Nova Icària,BC,19,BC19,Barcelona - Zona Nort BC19,644
Barcelona - Zona Nort,,,,,,-1,0,-1,,,2676,Nova Icària,BC,20,BC20,Barcelona - Zona Nort BC20,645
Barcelona - Zona Nort,,,,,,-1,0,-1,,,2677,Nova Icària,BC,21,BC21,Barcelona - Zona Nort BC21,646
Barcelona - Zona Nort,,,,,,-1,0,-1,,,2678,Nova Icària,BC,22,BC22,Barcelona - Zona Nort BC22,647
Barcelona - Zona Nort,,,,,,-1,0,-1,,,2679,Bogatell,BC,24,BC24,Barcelona - Zona Nort BC24,649
